site_id,date,soil_moisture_0_to_7cm_mean,soil_moisture_7_to_28cm_mean,soil_moisture_28_to_100cm_mean,soil_moisture_100_to_255cm_mean
ningxia_irrigation,1981-07-10,0.16,0.158,0.133,0.141
ningxia_irrigation,1981-07-11,0.149,0.154,0.133,0.141
ningxia_irrigation,1981-07-12,0.255,0.157,0.133,0.141
ningxia_irrigation,1981-07-13,0.379,0.318,0.134,0.141
ningxia_irrigation,1981-07-14,0.329,0.319,0.137,0.141
ningxia_irrigation,1981-07-15,0.297,0.302,0.138,0.141
ningxia_irrigation,1981-07-16,0.269,0.285,0.139,0.141
ningxia_irrigation,1981-07-17,0.244,0.269,0.14,0.141
ningxia_irrigation,1981-07-18,0.223,0.255,0.14,0.141
ningxia_irrigation,1981-07-19,0.206,0.242,0.14,0.141
ningxia_irrigation,1981-07-20,0.193,0.232,0.14,0.141
ningxia_irrigation,1981-07-21,0.18,0.222,0.14,0.141
ningxia_irrigation,1981-07-22,0.172,0.212,0.14,0.141
ningxia_irrigation,1981-07-23,0.169,0.204,0.14,0.141
ningxia_irrigation,1981-07-24,0.164,0.196,0.14,0.141
ningxia_irrigation,1981-07-25,0.164,0.191,0.14,0.141
ningxia_irrigation,1981-07-26,0.155,0.185,0.14,0.141
ningxia_irrigation,1981-07-27,0.149,0.18,0.14,0.141
ningxia_irrigation,1981-07-28,0.295,0.215,0.14,0.141
ningxia_irrigation,1981-07-29,0.335,0.27,0.14,0.141
ningxia_irrigation,1981-07-30,0.31,0.269,0.141,0.141
ningxia_irrigation,1981-07-31,0.279,0.262,0.141,0.141
ningxia_irrigation,1981-08-01,0.254,0.253,0.141,0.141
ningxia_irrigation,1981-08-02,0.238,0.245,0.142,0.141
ningxia_irrigation,1981-08-03,0.221,0.236,0.142,0.141
ningxia_irrigation,1981-08-04,0.202,0.226,0.142,0.141
ningxia_irrigation,1981-08-05,0.186,0.216,0.142,0.141
ningxia_irrigation,1981-08-06,0.175,0.208,0.142,0.141
ningxia_irrigation,1981-08-07,0.163,0.2,0.142,0.141
ningxia_irrigation,1981-08-08,0.154,0.192,0.141,0.141
ningxia_irrigation,1981-08-09,0.155,0.186,0.141,0.141
ningxia_irrigation,1981-08-10,0.155,0.18,0.141,0.141
ningxia_irrigation,1981-08-11,0.152,0.175,0.141,0.141
ningxia_irrigation,1981-08-12,0.148,0.17,0.141,0.141
ningxia_irrigation,1981-08-13,0.142,0.165,0.14,0.141
ningxia_irrigation,1981-08-14,0.165,0.162,0.14,0.141
ningxia_irrigation,1981-08-15,0.165,0.16,0.14,0.141
ningxia_irrigation,1981-08-16,0.157,0.158,0.14,0.141
ningxia_irrigation,1981-08-17,0.151,0.156,0.14,0.141
ningxia_irrigation,1981-08-18,0.159,0.155,0.14,0.141
ningxia_irrigation,1981-08-19,0.185,0.154,0.14,0.141
ningxia_irrigation,1981-08-20,0.193,0.154,0.14,0.141
ningxia_irrigation,1981-08-21,0.178,0.152,0.14,0.141
ningxia_irrigation,1981-08-22,0.167,0.151,0.139,0.141
ningxia_irrigation,1981-08-23,0.189,0.15,0.139,0.141
ningxia_irrigation,1981-08-24,0.206,0.151,0.139,0.141
ningxia_irrigation,1981-08-25,0.191,0.15,0.139,0.141
ningxia_irrigation,1981-08-26,0.178,0.149,0.139,0.141
ningxia_irrigation,1981-08-27,0.169,0.148,0.139,0.141
ningxia_irrigation,1981-08-28,0.191,0.147,0.139,0.141
ningxia_irrigation,1981-08-29,0.205,0.148,0.139,0.141
ningxia_irrigation,1981-08-30,0.188,0.147,0.139,0.141
ningxia_irrigation,1981-08-31,0.178,0.146,0.139,0.141
