site_id,date,precip
beijing_plain,2024-03-08,0.0
beijing_plain,2024-03-09,0.0
beijing_plain,2024-03-10,0.0
beijing_plain,2024-03-11,0.05000000074505806
beijing_plain,2024-03-12,0.0
beijing_plain,2024-03-13,0.0
beijing_plain,2024-03-14,0.0
beijing_plain,2024-03-15,0.0
beijing_plain,2024-03-16,0.3100000023841858
beijing_plain,2024-03-17,0.0
beijing_plain,2024-03-18,0.0
beijing_plain,2024-03-19,0.0
beijing_plain,2024-03-20,0.0
beijing_plain,2024-03-21,2.9200000762939453
beijing_plain,2024-03-22,0.7099999785423279
beijing_plain,2024-03-23,0.0
beijing_plain,2024-03-24,1.409999966621399
beijing_plain,2024-03-25,0.10999999940395355
beijing_plain,2024-03-26,0.0
beijing_plain,2024-03-27,3.130000114440918
beijing_plain,2024-03-28,0.07000000029802322
beijing_plain,2024-03-29,0.0
beijing_plain,2024-03-30,0.009999999776482582
beijing_plain,2024-03-31,0.0
beijing_plain,2024-04-01,0.0
beijing_plain,2024-04-02,0.0
beijing_plain,2024-04-03,0.0
beijing_plain,2024-04-04,0.11999999731779099
beijing_plain,2024-04-05,0.6800000071525574
beijing_plain,2024-04-06,0.0
beijing_plain,2024-04-07,0.0
beijing_plain,2024-04-08,0.0
beijing_plain,2024-04-09,1.100000023841858
beijing_plain,2024-04-10,5.070000171661377
beijing_plain,2024-04-11,0.0
beijing_plain,2024-04-12,0.009999999776482582
beijing_plain,2024-04-13,0.0
beijing_plain,2024-04-14,1.0299999713897705
beijing_plain,2024-04-15,0.0
beijing_plain,2024-04-16,0.0
beijing_plain,2024-04-17,0.0
beijing_plain,2024-04-18,0.0
beijing_plain,2024-04-19,0.019999999552965164
beijing_plain,2024-04-20,0.05000000074505806
beijing_plain,2024-04-21,0.0
beijing_plain,2024-04-22,12.270000457763672
beijing_plain,2024-04-23,18.579999923706055
beijing_plain,2024-04-24,0.0
beijing_plain,2024-04-25,0.0
beijing_plain,2024-04-26,0.23999999463558197
beijing_plain,2024-04-27,2.640000104904175
beijing_plain,2024-04-28,0.05000000074505806
beijing_plain,2024-04-29,4.639999866485596
beijing_plain,2024-04-30,0.0
beijing_plain,2024-05-01,0.0
beijing_plain,2024-05-02,0.0
beijing_plain,2024-05-03,0.0
beijing_plain,2024-05-04,1.25
beijing_plain,2024-05-05,0.3700000047683716
beijing_plain,2024-05-06,0.699999988079071
beijing_plain,2024-05-07,0.0
beijing_plain,2024-05-08,0.0
beijing_plain,2024-05-09,0.0
beijing_plain,2024-05-10,2.2300000190734863
beijing_plain,2024-05-11,0.0
beijing_plain,2024-05-12,0.0
beijing_plain,2024-05-13,0.0
beijing_plain,2024-05-14,0.0
beijing_plain,2024-05-15,0.0
beijing_plain,2024-05-16,0.0
beijing_plain,2024-05-17,0.0
beijing_plain,2024-05-18,0.0
beijing_plain,2024-05-19,0.6100000143051147
beijing_plain,2024-05-20,0.0
beijing_plain,2024-05-21,0.0
beijing_plain,2024-05-22,0.0
beijing_plain,2024-05-23,0.0
