irrigation_mm,water_loss_mm,yield_cv,total_yield_t_ha,algorithm,site_id
203.2346869981473,61.68994084843265,0.0833834710316556,12.697041199347614,NSGA-III,hebei_central
355.01321048155216,96.93425304236607,0.06435216607047593,14.870747268006705,NSGA-III,hebei_central
177.6428896757289,142.99123445650838,0.15171180920938254,12.088281972149213,NSGA-III,hebei_central
445.7436233798533,60.833956667361875,0.12008873771944302,14.036857000919118,NSGA-III,hebei_central
247.63440634938533,162.93448262360758,0.06997518304472483,13.846630867136932,NSGA-III,hebei_central
308.9259040995613,90.4351884715416,0.07002431254844667,13.118464946315086,NSGA-III,hebei_central
332.9232409398356,97.85756361751916,0.1008568407291576,14.081345751683681,NSGA-III,hebei_central
264.70903292962987,60.679221816979876,0.10139863275890176,12.549922416139257,NSGA-III,hebei_central
150.48754330792013,90.61533134287238,0.1844504085042877,11.812643951915991,NSGA-III,hebei_central
184.2814422590506,58.37499877951873,0.16711522919824165,11.054686320943967,MOEA/D,hebei_central
184.2814422590506,58.37499877951873,0.16711522919824165,11.054686320943967,MOEA/D,hebei_central
180.69287034800817,57.362151282507774,0.2648183433097368,9.835261775227725,MOEA/D,hebei_central
184.28509944495198,58.3752898221761,0.16711255453365698,11.054787010739973,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
180.01140316560395,57.3075281646815,0.273527870351572,9.781341612987866,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
180.0114789146372,57.30787583109619,0.27348614445332414,9.782478887083705,MOEA/D,hebei_central
185.01147893933674,57.32017865792841,0.27306032733297736,9.768100076708548,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
180.0142204184878,57.307528161175966,0.27349199752350756,9.781575678230235,MOEA/D,hebei_central
180.0114789146372,57.30787583109619,0.27348614445332414,9.782478887083705,MOEA/D,hebei_central
180.01140316560395,57.3075281646815,0.273527870351572,9.781341612987866,MOEA/D,hebei_central
188.43113399566465,55.14138816057759,0.2691451651689826,9.857986426800961,MOEA/D,hebei_central
180.01150719653174,57.3075281645424,0.27352757258617805,9.781342441662895,MOEA/D,hebei_central
180.01148926500787,57.30752816296145,0.2735276240814625,9.781344916296153,MOEA/D,hebei_central
