policy,site_id,year,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_direct,beijing_plain,2022,10.876376846601245,130.0,0.16521739130434782,-1.5132006147121886,-1.2175148371455118,2.900635134224942,90.0,7.975741712376303,40.0,,,0
ppo_direct,hebei_central,2018,9.430696183170575,190.0,0.12173913043478261,-2.3380803145013336,-1.6381216949991777,4.1702992452130925,30.0,5.2603969379574815,160.0,,,0
ppo_direct,hebei_central,2019,11.497819125509753,425.0,0.21929824561403508,-5.881282093657626,-4.71669460415779,2.79467701356079,380.0,8.703142111948964,45.0,,,0
ppo_direct,hebei_central,2020,11.996201346014022,160.0,0.14035087719298245,-1.9466695496316828,-1.4868178891454022,4.076971368557992,100.0,7.9192299774560295,60.0,,,0
ppo_direct,hebei_central,2021,12.14250614282473,140.0,0.14285714285714285,-1.6752803654880122,-1.3210534266809952,4.101380460088038,130.0,8.041125682736693,10.0,,,0
ppo_direct,hebei_central,2022,12.157258676587208,160.0,0.11403508771929824,-1.835309195816159,-1.4224538052160858,4.433731123028249,80.0,7.72352755355896,80.0,,,0
ppo_direct,henan_north,2018,14.964738970036326,70.0,0.09734513274336283,-0.4040127976054486,-0.46990889414876474,5.92436609507218,60.0,9.040372874964145,10.0,,,0
ppo_direct,henan_north,2019,5.802191335343846,230.0,0.12280701754385964,-3.345103510385163,-2.6833188370589247,2.154503585039401,230.0,3.6476877503044443,0.0,,,0
ppo_direct,henan_north,2020,14.598646432827657,160.0,0.09821428571428571,-1.6925959061335498,-1.305974990699341,6.71921498586386,80.0,7.879431446963798,80.0,,,0
ppo_direct,henan_north,2021,9.857334299576289,90.0,0.20535714285714285,-1.2244944904860842,-0.9518465856565901,2.5123536188671447,80.0,7.344980680709145,10.0,,,0
ppo_direct,henan_north,2022,15.553725266766076,140.0,0.15789473684210525,-1.497068575201366,-1.2603583074029547,6.454612807067842,130.0,9.099112459698235,10.0,,,0
ppo_direct,shaanxi_guanzhong,2018,11.525083992309566,150.0,0.23423423423423423,-1.6147361996743905,-1.1969475254920112,4.65134093175602,30.0,6.873743060553546,120.0,,,0
ppo_direct,shaanxi_guanzhong,2019,8.761290523893386,130.0,0.08928571428571429,-1.8997617659769528,-1.4170783472829918,1.52672187994623,70.0,7.234568643947156,60.0,,,0
ppo_direct,shaanxi_guanzhong,2020,13.604604165826172,40.0,0.17272727272727273,-0.09617312566024272,-0.2518869396666273,4.816949041980374,30.0,8.787655123845798,10.0,,,0
ppo_direct,shaanxi_guanzhong,2021,14.344865901514694,40.0,0.0990990990990991,-0.06168941138902795,-0.23494192380921597,5.292428197812643,30.0,9.05243770370205,10.0,,,0
ppo_direct,shaanxi_guanzhong,2022,10.849505980886912,30.0,0.125,-0.10327806239893778,-0.20645848612113937,4.929889295916342,20.0,5.91961668497057,10.0,,,0
ppo_direct,ningxia_irrigation,2018,6.346806283015375,240.0,0.3409090909090909,-3.0321277922394723,-2.8915820451173047,,,,,6.346806283015375,240.0,0
ppo_direct,ningxia_irrigation,2019,8.319116637830215,320.0,0.38636363636363635,-4.223273858966036,-3.7896897220762185,,,,,8.319116637830215,320.0,0
ppo_direct,ningxia_irrigation,2020,6.770090088985384,380.0,0.45454545454545453,-5.344391456318073,-4.887037914161626,,,,,6.770090088985384,380.0,0
ppo_direct,ningxia_irrigation,2021,0.0,0.0,0.022727272727272728,-0.08607043041529906,-0.07916957681129456,,,,,0.0,0.0,0
ppo_direct,ningxia_irrigation,2022,10.574241730267536,320.0,0.38636363636363635,-4.261642288220827,-3.9820244186289124,,,,,10.574241730267536,320.0,0
ppo_direct,beijing_plain,2018,9.849559465820064,90.0,0.06086956521739131,-1.1137557895228212,-0.8362139546019737,2.7209589944836385,30.0,7.128600471336426,60.0,,,1
ppo_direct,beijing_plain,2019,6.068435066361534,450.0,0.23893805309734514,-6.946025371307119,-5.332132599260801,1.6017138858898505,400.0,4.4667211804716835,50.0,,,1
ppo_direct,beijing_plain,2020,7.87861760446616,150.0,0.07079646017699115,-2.019351936320194,-1.4653726949590071,0.7116393136963514,50.0,7.1669782907698085,100.0,,,1
ppo_direct,beijing_plain,2021,9.695441173286952,50.0,0.035398230088495575,-0.7353992454675489,-0.6129807908295513,0.8255678949271094,50.0,8.869873278359842,0.0,,,1
ppo_direct,beijing_plain,2022,10.87158344627285,110.0,0.06956521739130435,-1.2523102553158123,-0.9572986349095381,2.895846073353812,70.0,7.9757373729190375,40.0,,,1
ppo_direct,hebei_central,2018,9.415619122876684,170.0,0.0782608695652174,-2.0777183447757754,-1.3778886815919862,4.152426712584813,10.0,5.263192410291871,160.0,,,1
ppo_direct,hebei_central,2019,11.433501428984378,390.0,0.10526315789473684,-5.264696213503198,-4.3246506491437815,2.79467701356079,380.0,8.638824415423588,10.0,,,1
ppo_direct,hebei_central,2020,11.941102997371534,150.0,0.08771929824561403,-1.8077196776287265,-1.3795372689581,4.041361557522055,90.0,7.899741439849479,60.0,,,1
ppo_direct,hebei_central,2021,12.203222783520337,130.0,0.10714285714285714,-1.531506301106277,-1.2053832608197443,4.155609452288161,130.0,8.047613331232176,0.0,,,1
ppo_direct,hebei_central,2022,12.145951863885745,130.0,0.07017543859649122,-1.5335896989945814,-1.127929581452825,4.392705461387903,50.0,7.753246402497843,80.0,,,1
ppo_direct,henan_north,2018,14.997266968664288,30.0,0.02654867256637168,0.01934884175444207,-0.11211071024886088,5.957845169622508,30.0,9.039421799041781,0.0,,,1
ppo_direct,henan_north,2019,5.8862505864139045,230.0,0.10526315789473684,-3.3230469648854877,-2.6540782225594644,2.0148251533113863,220.0,3.8714254331025186,10.0,,,1
ppo_direct,henan_north,2020,14.019537320822614,130.0,0.08035714285714286,-1.415839253652337,-1.0485915004404573,6.69214431994943,70.0,7.327393000873185,60.0,,,1
ppo_direct,henan_north,2021,10.158649507771937,90.0,0.09821428571428571,-1.207733153344625,-0.9670058148004737,2.808837194825093,90.0,7.3498123129468445,0.0,,,1
ppo_direct,henan_north,2022,15.489030182464607,110.0,0.06140350877192982,-1.097459496441609,-0.9066363499371383,6.389047708853274,110.0,9.099982473611332,0.0,,,1
ppo_direct,shaanxi_guanzhong,2018,11.525113181220032,130.0,0.06306306306306306,-1.3536234206255398,-0.9371786089500833,4.651370120666486,10.0,6.873743060553546,120.0,,,1
ppo_direct,shaanxi_guanzhong,2019,8.884548410503735,130.0,0.05357142857142857,-1.694488534400793,-1.2703456296344118,1.6389974934818905,70.0,7.245550917021844,60.0,,,1
ppo_direct,shaanxi_guanzhong,2020,13.575936599803022,10.0,0.01818181818181818,0.30533255881344556,0.10933179249516672,4.816108229989426,10.0,8.759828369813597,0.0,,,1
ppo_direct,shaanxi_guanzhong,2021,14.340680708597391,10.0,0.02702702702702703,0.34090319848298317,0.12879125838302263,5.292494400444067,10.0,9.048186308153324,0.0,,,1
ppo_direct,shaanxi_guanzhong,2022,10.686615794383453,10.0,0.008928571428571428,0.17278449058250933,0.026072306883026086,4.9298840272486775,10.0,5.7567317671347755,0.0,,,1
ppo_direct,ningxia_irrigation,2018,7.860706651369605,260.0,0.1590909090909091,-3.6517287669364062,-3.4588832724962777,,,,,7.860706651369605,260.0,1
ppo_direct,ningxia_irrigation,2019,8.319116637830215,320.0,0.29545454545454547,-4.223273858966036,-3.7896897220762185,,,,,8.319116637830215,320.0,1
ppo_direct,ningxia_irrigation,2020,6.770090088985384,380.0,0.13636363636363635,-5.344391456318073,-4.887037914161626,,,,,6.770090088985384,380.0,1
ppo_direct,ningxia_irrigation,2021,0.0,0.0,0.0,-0.08607043041529906,-0.07916957681129456,,,,,0.0,0.0,1
ppo_direct,ningxia_irrigation,2022,10.574241730267536,320.0,0.22727272727272727,-4.261642288220827,-3.9820244186289124,,,,,10.574241730267536,320.0,1
ppo_direct,beijing_plain,2018,10.01298129634643,150.0,0.14782608695652175,-1.8809220047472084,-1.3641310584314923,2.732295206478932,30.0,7.280686089867498,120.0,,,2
ppo_direct,beijing_plain,2019,7.221409758400181,450.0,0.1415929203539823,-6.20286368869064,-4.873807570803693,1.5150774460380234,400.0,5.706332312362158,50.0,,,2
ppo_direct,beijing_plain,2020,6.722634522393966,180.0,0.08849557522123894,-2.5705775584694797,-1.8874240215366955,0.8671746439643813,80.0,5.855459878429584,100.0,,,2
ppo_direct,beijing_plain,2021,8.961178299203079,110.0,0.08849557522123894,-1.4725896927802056,-1.1576902167226752,0.975302396978891,70.0,7.985875902224188,40.0,,,2
ppo_direct,beijing_plain,2022,11.859716635713683,100.0,0.1391304347826087,-1.2103910572291259,-0.9887381523002226,2.8531075678751967,90.0,9.006609067838486,10.0,,,2
ppo_direct,hebei_central,2018,9.418452224649513,180.0,0.11304347826086956,-2.2192478651100296,-1.5272577788574022,4.15530213087536,20.0,5.263150093774152,160.0,,,2
ppo_direct,hebei_central,2019,11.253562803350823,410.0,0.09649122807017543,-5.3354707375700965,-4.379534853126401,2.5998288382574724,400.0,8.65373396509335,10.0,,,2
ppo_direct,hebei_central,2020,11.995925593482959,160.0,0.14912280701754385,-1.9466636581073788,-1.5187107977860714,4.097129482797147,100.0,7.898796110685812,60.0,,,2
ppo_direct,hebei_central,2021,12.285350266857364,150.0,0.11607142857142858,-1.8111677022075807,-1.4410120613683663,4.159055597709334,140.0,8.126294669148031,10.0,,,2
ppo_direct,hebei_central,2022,12.13798567812681,150.0,0.08771929824561403,-1.716790611173158,-1.3102256235060925,4.409614648266133,70.0,7.728371029860678,80.0,,,2
