site_id,smt_level,alpha,mean_total_yield,std_total_yield,mean_total_irr
hebei_central,moderate,0.5,15.026137847101994,0.8331983929161767,395.9994955481713
hebei_central,moderate,0.6,14.914676666939217,1.467333482529002,398.0953609688122
hebei_central,moderate,0.7,14.55414764579684,2.6181356309384505,412.3506910608108
hebei_central,moderate,0.8,14.163887537472286,3.175681623401439,412.57767452846787
hebei_central,moderate,0.9,14.250083930658764,2.684254623311869,404.5164411140274
hebei_central,aggressive,0.1,13.36093181799588,1.2276462082628987,342.21023004577756
hebei_central,aggressive,0.2,14.204884271965073,0.8416753542977007,370.88536952255464
hebei_central,aggressive,0.3,14.639669610963127,0.7690414099002922,404.96418032468733
hebei_central,aggressive,0.4,14.896550073129594,0.7742839092992453,420.58229199496725
hebei_central,aggressive,0.5,14.92007482304974,1.1259668023208984,443.9426879942262
hebei_central,aggressive,0.6,14.747178231023208,1.8001031610528235,450.0
hebei_central,aggressive,0.7,14.242709276373343,2.7085674343535957,450.0
hebei_central,aggressive,0.8,13.988723690033854,3.0981494401869822,441.4406394552789
hebei_central,aggressive,0.9,12.611318532993078,3.6483653643278022,428.5834965981361
henan_north,conservative,0.1,14.009590612227141,2.6730676145006305,252.14285714285714
henan_north,conservative,0.2,14.435753359504329,2.9055048134727963,309.2857142857143
henan_north,conservative,0.3,15.074181033377084,2.8451025281604716,323.57142857142856
henan_north,conservative,0.4,15.951271230853466,2.26164042071085,348.57142857142856
henan_north,conservative,0.5,16.149474058608757,2.071062248200375,375.0
henan_north,conservative,0.6,15.942593251234545,2.702524465833437,384.2857142857143
henan_north,conservative,0.7,15.820737483425367,3.310766594054589,385.7142857142857
henan_north,conservative,0.8,15.246108067758678,3.569970362125804,377.85714285714283
henan_north,conservative,0.9,13.847384561200693,4.586687352548467,353.57142857142856
henan_north,moderate,0.1,14.262849530342152,2.619294073076707,322.5773312957237
henan_north,moderate,0.2,14.749962593989876,2.794341178494584,355.43449617166544
henan_north,moderate,0.3,15.346230688704512,2.7882707730535263,371.5640907283849
henan_north,moderate,0.4,16.179451172903317,2.3885745722114464,407.34065887849647
henan_north,moderate,0.5,16.19624262555994,2.3800078328207097,417.1605574667905
henan_north,moderate,0.6,15.564514987969037,3.0951781332497004,423.5305574667905
henan_north,moderate,0.7,14.843397024660106,3.5794929783898906,425.38248722169374
henan_north,moderate,0.8,15.066737424710459,3.851999654398725,412.3049711998061
henan_north,moderate,0.9,13.943634958091616,4.176797694362321,382.7042691190477
henan_north,aggressive,0.1,14.3005761111266,2.6068040728425674,388.7961134971637
henan_north,aggressive,0.2,14.77900622983652,2.8481468101457867,408.5665205151877
henan_north,aggressive,0.3,15.326317026494781,2.8400452710132496,433.1303911170009
henan_north,aggressive,0.4,15.99214833765159,2.5212303475616777,443.794405617388
henan_north,aggressive,0.5,15.94733809999907,2.9210920115938035,450.0
henan_north,aggressive,0.6,15.366024386206359,3.515956524852532,443.57142857142856
henan_north,aggressive,0.7,14.901667193291255,3.6653092611087033,437.14285714285717
henan_north,aggressive,0.8,13.988954548638185,3.877380879288339,430.7142857142857
henan_north,aggressive,0.9,13.198254335051617,4.360513014401448,418.02878672063486
