policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,timesteps
ppo_rotation_residual_seed2,hebei_central,2015,balanced,10.926050758539516,160.0,0.0636363636363636,-2.054710237220496,-1.7037746238831144,0.7107685601511162,135.0,10.2152821983884,25.0,,,400000
ppo_rotation_residual_seed2,ningxia_irrigation,2015,balanced,0.0,25.0,0.0227272727272727,-0.4027929726530415,-0.398398743477961,,,,,0.0,25.0,400000
ppo_rotation_residual_seed2,shaanxi_guanzhong,2015,balanced,15.137652816789448,55.0,0.1636363636363636,-0.3279723814223237,-0.3929044135402772,4.900043361912264,30.0,10.237609454877184,25.0,,,400000
ppo_rotation_direct_gamma1,hebei_central,2015,balanced,10.388939944258277,300.0,0.13636363636363635,-3.984844160095686,-2.925571000544234,0.6963336347394666,120.0,9.69260630951881,180.0,,,100000
ppo_rotation_direct_gamma1,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.04059596122166813,-0.045338595799476855,,,,,0.0,0.0,100000
ppo_rotation_direct_gamma1,shaanxi_guanzhong,2015,balanced,16.158220238308072,240.0,0.3181818181818182,-2.770630983480549,-1.9529514604129603,4.900043361912264,110.0,11.258176876395808,130.0,,,100000
ppo_rotation_direct_gamma1_seed1,hebei_central,2015,balanced,10.687752060016827,440.0,0.32727272727272727,-5.692165398445304,-3.9872219392948822,0.6758295955457355,100.0,10.011922464471091,340.0,,,100000
ppo_rotation_direct_gamma1_seed1,ningxia_irrigation,2015,balanced,0.0,0.0,0.0,-0.04059596122166813,-0.045338595799476855,,,,,0.0,0.0,100000
ppo_rotation_direct_gamma1_seed1,shaanxi_guanzhong,2015,balanced,16.252661570113915,270.0,0.2909090909090909,-3.2367905120360945,-2.311614879391055,4.900043361912264,115.0,11.352618208201651,155.0,,,100000
ppo_rotation_direct_gamma1_seed2,hebei_central,2015,balanced,10.105850410096144,260.0,0.16363636363636364,-3.5050053280077007,-2.634972878156245,0.6758295955457355,100.0,9.430020814550408,160.0,,,100000
ppo_rotation_direct_gamma1_seed2,ningxia_irrigation,2015,balanced,0.0,25.0,0.022727272727272728,-0.40091544104208826,-0.37379611040831984,,,,,0.0,25.0,100000
ppo_rotation_direct_gamma1_seed2,shaanxi_guanzhong,2015,balanced,16.187327307008164,180.0,0.41818181818181815,-1.8751741192552254,-1.5450973230392502,4.900043361912264,155.0,11.2872839450959,25.0,,,100000
ppo_rotation_direct_wq,hebei_central,2015,balanced,14.332121158123591,445.0,0.08181818181818182,-5.444260339440674,-4.378042955578078,3.3571856180493382,400.0,10.974935540074254,45.0,,,100000
ppo_rotation_direct_wq,ningxia_irrigation,2015,balanced,0.0,20.0,0.0,-0.3407756738707915,-0.3141924052004194,,,,,0.0,20.0,100000
ppo_rotation_direct_wq,shaanxi_guanzhong,2015,balanced,16.257728264822244,150.0,0.08181818181818182,-1.492169834732226,-1.2551784946723872,4.900043361912264,100.0,11.35768490290998,50.0,,,100000
ppo_rotation_direct_wq_seed1,hebei_central,2015,balanced,15.521517902894516,450.0,0.6727272727272727,-5.526478779212425,-4.801770229402131,4.100571247025363,320.0,11.420946655869152,130.0,,,100000
ppo_rotation_direct_wq_seed1,ningxia_irrigation,2015,balanced,13.507716243022527,450.0,0.5454545454545454,-5.484626547599719,-5.263244416041761,,,,,13.507716243022527,450.0,100000
ppo_rotation_direct_wq_seed1,shaanxi_guanzhong,2015,balanced,16.26425263673876,395.0,0.6,-4.662776233390205,-3.303894887079069,4.900043361912264,60.0,11.364209274826498,335.0,,,100000
ppo_rotation_direct_wq_seed2,hebei_central,2015,balanced,6.751502297377282,450.0,0.8454545454545455,-5.6571092438116475,-5.015943062430647,4.590269055583088,450.0,2.161233241794195,0.0,,,100000
ppo_rotation_direct_wq_seed2,ningxia_irrigation,2015,balanced,13.635505853723302,450.0,0.6818181818181818,-5.503584923121721,-5.274705077644337,,,,,13.635505853723302,450.0,100000
ppo_rotation_direct_wq_seed2,shaanxi_guanzhong,2015,balanced,16.268544898477874,345.0,0.9181818181818182,-4.06540471510749,-2.9773389785677553,4.900043361912264,150.0,11.36850153656561,195.0,,,100000
ppo_rotation_residual_gamma1,hebei_central,2015,balanced,12.658648464039636,450.0,0.2636363636363636,-5.542437049241391,-4.315312551293574,2.027624793351327,395.0,10.63102367068831,55.0,,,100000
ppo_rotation_residual_gamma1,ningxia_irrigation,2015,balanced,0.0,225.0,0.22727272727272727,-2.969218346544891,-2.526208282422588,,,,,0.0,225.0,100000
ppo_rotation_residual_gamma1,shaanxi_guanzhong,2015,balanced,16.172645989168377,180.0,0.15454545454545454,-2.075684773788789,-1.538896159699899,4.900043361912264,110.0,11.272602627256113,70.0,,,100000
ppo_rotation_residual_gamma1_seed1,hebei_central,2015,balanced,11.07465791695737,250.0,0.19090909090909092,-3.2557361882529623,-2.4236805755262756,0.6789166964417322,125.0,10.395741220515639,125.0,,,100000
ppo_rotation_residual_gamma1_seed1,ningxia_irrigation,2015,balanced,0.0,25.0,0.022727272727272728,-0.40054971370637327,-0.3723229777403346,,,,,0.0,25.0,100000
ppo_rotation_residual_gamma1_seed1,shaanxi_guanzhong,2015,balanced,16.183919659462568,270.0,0.6636363636363637,-3.194737090570825,-2.330277768165061,4.900043361912264,130.0,11.283876297550302,140.0,,,100000
ppo_rotation_residual_gamma1_seed2,hebei_central,2015,balanced,14.439865293460194,350.0,0.2727272727272727,-4.523935710185264,-4.18588177762799,4.10533902046822,325.0,10.334526272991974,25.0,,,100000
ppo_rotation_residual_gamma1_seed2,ningxia_irrigation,2015,balanced,0.0,25.0,0.045454545454545456,-0.4027929726530415,-0.39839874347796106,,,,,0.0,25.0,100000
ppo_rotation_residual_gamma1_seed2,shaanxi_guanzhong,2015,balanced,15.137652816789448,85.0,0.5545454545454546,-0.7085279369778796,-0.767562867118857,4.900043361912264,60.0,10.237609454877184,25.0,,,100000
ppo_rotation_residual_wq,hebei_central,2015,balanced,13.333533476022746,450.0,0.2545454545454545,-5.4951369845386075,-4.3823800636506185,2.2157427129082765,400.0,11.117790763114469,50.0,,,100000
ppo_rotation_residual_wq,ningxia_irrigation,2015,balanced,13.342656361427872,450.0,0.5,-5.513158467359503,-5.134703046092617,,,,,13.342656361427872,450.0,100000
ppo_rotation_residual_wq,shaanxi_guanzhong,2015,balanced,16.200938454050906,265.0,0.07272727272727272,-3.089978465831519,-2.2440814038706764,4.900043361912264,125.0,11.300895092138642,140.0,,,100000
ppo_rotation_residual_wq_seed1,hebei_central,2015,balanced,11.191246862413692,450.0,0.13636363636363635,-5.6410737480264705,-4.3045409336205545,2.1893834945861244,250.0,9.001863367827568,200.0,,,100000
ppo_rotation_residual_wq_seed1,ningxia_irrigation,2015,balanced,1.2151271255874592,150.0,0.022727272727272728,-1.9761143559952248,-1.805308642406939,,,,,1.2151271255874592,150.0,100000
ppo_rotation_residual_wq_seed1,shaanxi_guanzhong,2015,balanced,16.08533661792808,255.0,0.43636363636363634,-2.9078882881507697,-2.119203491345023,4.900043361912264,65.0,11.185293256015813,190.0,,,100000
