policy,site_id,year,preference,total_yield_t_ha,total_irrigation_mm,action_modified_rate,undiscounted_return,discounted_return,wheat_yield,wheat_irr,maize_yield,maize_irr,spring_maize_yield,spring_maize_irr,seed
ppo_direct,beijing_plain,2018,water_vs_cost,12.073548733499218,80.0,0.0625,-1.834076964455536,-1.2561977309457437,2.6813558362564787,20.0,9.392192897242738,60.0,,,0
ppo_direct,beijing_plain,2019,balanced,8.654858900616539,405.0,0.15454545454545454,-5.2993011719930045,-4.2525153073830815,1.5429989543051423,405.0,7.111859946311395,0.0,,,0
ppo_direct,beijing_plain,2019,yield_max,8.631567170861173,400.0,0.17272727272727273,-2.047958871802901,-1.7495510339401859,1.500942186416575,400.0,7.130624984444597,0.0,,,0
ppo_direct,beijing_plain,2019,water_min,8.631567170861173,400.0,0.15454545454545454,-8.25447031501948,-6.521585368530882,1.500942186416575,400.0,7.130624984444597,0.0,,,0
ppo_direct,beijing_plain,2019,cost_min,8.597489132334044,400.0,0.13636363636363635,-8.965469615273845,-7.09278057610624,1.4905209464418543,400.0,7.10696818589219,0.0,,,0
ppo_direct,beijing_plain,2019,risk_min,7.437024447208223,450.0,0.32727272727272727,-6.769874398263122,-4.796352579364645,1.8110996507671628,450.0,5.625924796441061,0.0,,,0
ppo_direct,beijing_plain,2019,yield_vs_water,8.654858900616539,405.0,0.15454545454545454,-4.527251464991278,-3.6707564038946643,1.5429989543051423,405.0,7.111859946311395,0.0,,,0
ppo_direct,beijing_plain,2019,water_vs_cost,8.67923657588977,415.0,0.15454545454545454,-9.78339379727598,-7.724345174855525,1.5731558555217469,415.0,7.1060807203680225,0.0,,,0
ppo_direct,beijing_plain,2020,balanced,7.8114157984347194,160.0,0.09090909090909091,-2.2030564661458203,-1.560377561135663,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct,beijing_plain,2020,yield_max,7.8114157984347194,160.0,0.1,-0.8942377046440795,-0.7210983074573855,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct,beijing_plain,2020,water_min,7.8114157984347194,160.0,0.09090909090909091,-3.4229863387586805,-2.3394868280862373,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct,beijing_plain,2020,cost_min,7.8114157984347194,160.0,0.08181818181818182,-3.6896530054253467,-2.5199967882693484,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct,beijing_plain,2020,risk_min,8.993840222161955,320.0,0.08181818181818182,-1.7680373813692136,-1.23657699623694,0.8389480306573895,160.0,8.154892191504565,160.0,,,0
ppo_direct,beijing_plain,2020,yield_vs_water,7.8114157984347194,160.0,0.09090909090909091,-1.814931693793389,-1.3097767249448165,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct,beijing_plain,2020,water_vs_cost,7.8114157984347194,160.0,0.08181818181818182,-3.7785418943142353,-2.573300452779198,0.6237055761999197,40.0,7.1877102222347995,120.0,,,0
ppo_direct,beijing_plain,2021,balanced,11.833698099750963,40.0,0.05454545454545454,-0.499957172659909,-0.4250381794393747,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct,beijing_plain,2021,yield_max,11.833698099750963,40.0,0.06363636363636363,-0.02214727437706121,-0.14883565350397726,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct,beijing_plain,2021,water_min,11.833698099750963,40.0,0.05454545454545454,-0.9555448487205309,-0.6857500025187082,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct,beijing_plain,2021,cost_min,11.833698099750963,40.0,0.01818181818181818,-1.0222115153871978,-0.7322221110869012,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct,beijing_plain,2021,risk_min,12.518028469630611,190.0,0.2909090909090909,-1.012799702456392,-0.7287115301120621,0.9835039825413041,120.0,11.534524487089307,70.0,,,0
ppo_direct,beijing_plain,2021,yield_vs_water,11.833698099750963,40.0,0.05454545454545454,-0.27772424360266235,-0.2887300537597536,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct,beijing_plain,2021,water_vs_cost,11.833698099750963,40.0,0.045454545454545456,-0.89443373760942,-0.6424499851132519,0.7961003518919771,40.0,11.037597747858985,0.0,,,0
ppo_direct,beijing_plain,2022,balanced,14.420478827114344,70.0,0.08035714285714286,-0.7776323738731216,-0.6252275849082887,2.871208917888606,70.0,11.549269909225737,0.0,,,0
ppo_direct,beijing_plain,2022,yield_max,14.369969737433259,80.0,0.125,0.08315574096607481,-0.09390448343899938,2.882756122517194,60.0,11.487213614916065,20.0,,,0
ppo_direct,beijing_plain,2022,water_min,14.369969737433259,80.0,0.11607142857142858,-1.635739656052464,-1.1454215361749764,2.882756122517194,60.0,11.487213614916065,20.0,,,0
ppo_direct,beijing_plain,2022,cost_min,14.420478827114344,70.0,0.05357142857142857,-1.6881580934682785,-1.1889944896762674,2.871208917888606,70.0,11.549269909225737,0.0,,,0
ppo_direct,beijing_plain,2022,risk_min,14.862628098387095,320.0,0.48214285714285715,-1.7637567798154663,-1.363661511440015,3.319915062679972,310.0,11.542713035707123,10.0,,,0
