site_id,year,wheat_harvest,maize_harvest,margin_days,maize_yield,maize_irr
hebei_central,2012,2012-05-30,2012-09-28,7,11.346990350621455,290.00308070927235
hebei_central,2013,2013-06-05,2013-09-28,7,11.384233308913789,346.92719093552483
hebei_central,2014,2014-05-22,2014-09-28,7,11.393984470772102,401.51645552797146
hebei_central,2015,2015-05-22,2015-09-28,7,11.430729702367563,397.00458582814883
hebei_central,2016,2016-05-26,2016-09-28,7,11.505054421101473,298.08296228341203
hebei_central,2017,2017-05-22,2017-09-28,7,11.523476811102865,400.68313039808726
hebei_central,2018,2018-05-27,2018-09-28,7,11.488325292889,373.6073099686313
hebei_central,2019,2019-05-24,2019-09-28,7,11.548814312318695,425.22354399609674
hebei_central,2020,2020-05-24,2020-09-28,7,11.563376395127602,310.9211123311874
hebei_central,2021,2021-05-19,2021-09-28,7,11.568662803920475,295.7292711192308
hebei_central,2022,2022-05-25,2022-09-28,7,11.556977591679834,313.07265724342045
hebei_central,2023,2023-05-21,2023-09-28,7,11.589019487261828,406.7904955630617
hebei_central,2024,2024-05-22,2024-09-28,7,11.588415955971282,358.67056639210716
hebei_central,2025,2025-05-10,2025-09-28,7,11.587700670569047,251.1788684050058
henan_north,1982,1982-06-04,1982-09-28,7,11.01480218741836,303.01825709562627
henan_north,1983,1983-06-01,1983-09-28,7,11.064876545928822,380.69824255913215
henan_north,1984,1984-06-06,1984-09-28,7,11.011078230892934,256.1381571487034
henan_north,1985,1985-06-08,1985-09-28,7,10.866643168340545,225.78688086859847
henan_north,1986,1986-06-05,1986-09-28,7,11.109911413381873,448.5831749806379
henan_north,1987,1987-06-06,1987-09-28,7,11.12607416630506,352.1676306639116
henan_north,1988,1988-06-06,1988-09-28,7,11.144960319693089,293.6321251000348
henan_north,1989,1989-06-01,1989-09-28,7,11.119498297240579,328.65164290937696
henan_north,1990,1990-06-05,1990-09-28,7,11.173845284758348,287.8793610942135
henan_north,1991,1991-06-05,1991-09-28,7,11.186251959021247,346.07094472345835
henan_north,1992,1992-05-31,1992-09-28,7,11.09854107674971,323.32267567456114
henan_north,1993,1993-06-06,1993-09-28,7,11.196655890689382,308.2888441124589
henan_north,1994,1994-06-04,1994-09-28,7,11.202352357020716,305.86627352759314
henan_north,1995,1995-05-31,1995-09-28,7,11.101072051668865,284.36753190986747
henan_north,1996,1996-06-05,1996-09-28,7,11.213142508333625,262.5523120891867
henan_north,1997,1997-05-31,1997-09-28,7,11.025883072968648,460.7322044936621
henan_north,1998,1998-05-29,1998-09-28,7,11.288327960124613,319.644040761802
henan_north,1999,1999-05-16,1999-09-28,7,11.286924909434198,394.60994384299266
henan_north,2000,2000-05-25,2000-09-28,7,11.277116259196076,296.9609542308374
henan_north,2001,2001-06-04,2001-09-28,7,11.290161010773692,362.7334578970036
henan_north,2002,2002-05-23,2002-09-28,7,11.22199855480521,368.43849833317137
henan_north,2003,2003-06-06,2003-09-28,7,11.279096455133544,245.9357579279254
henan_north,2004,2004-05-27,2004-09-28,7,11.32592221003583,296.75568516216504
henan_north,2005,2005-06-02,2005-09-28,7,11.32655342803932,290.7237689000549
henan_north,2006,2006-05-26,2006-09-28,7,11.352901695912815,363.71563217521583
henan_north,2007,2007-05-17,2007-09-28,7,11.405236384844116,316.02934832168626
henan_north,2008,2008-05-27,2008-09-28,7,11.368614858668428,337.9001351719652
henan_north,2009,2009-05-21,2009-09-28,7,11.299725091206325,351.01678365710194
henan_north,2010,2010-06-07,2010-09-28,7,11.341156997627474,356.529686560247
henan_north,2011,2011-06-01,2011-09-28,7,11.114244334650284,346.72740488293766
henan_north,2012,2012-05-31,2012-09-28,7,11.443549804213728,366.5475851769373
henan_north,2013,2013-05-31,2013-09-28,7,11.465648397648218,465.73113094743053
henan_north,2014,2014-05-21,2014-09-28,7,11.362777266206534,378.3195454176316
henan_north,2015,2015-05-23,2015-09-28,7,11.483458618361746,382.19515785606586
henan_north,2016,2016-05-26,2016-09-28,7,11.522869547998582,386.245914781151
henan_north,2017,2017-05-21,2017-09-28,7,11.510726005626124,372.1819487887596
henan_north,2018,2018-05-21,2018-09-28,7,11.506227155229626,342.5419960594885
henan_north,2019,2019-05-26,2019-09-28,7,11.550760426159108,437.5877442497311
henan_north,2020,2020-05-18,2020-09-28,7,11.579717642641313,300.6124339141354
henan_north,2021,2021-05-19,2021-09-28,7,11.565302428662623,319.9883090156148
henan_north,2022,2022-05-24,2022-09-28,7,11.589802299125724,367.78507767598774
henan_north,2023,2023-05-19,2023-09-28,7,11.598671044195763,377.82440458634744
henan_north,2024,2024-05-19,2024-09-28,7,11.616627028228699,338.20205020284334
henan_north,2025,2025-05-11,2025-09-28,7,11.54900527100763,296.3838734833605
shaanxi_guanzhong,1982,1982-06-08,1982-09-28,7,10.760166684262234,232.6831079012293
shaanxi_guanzhong,1983,1983-06-04,1983-09-28,7,10.87435287799572,200.29404545828538
shaanxi_guanzhong,1984,1984-06-02,1984-09-28,7,10.706898898375153,179.09487033153422
shaanxi_guanzhong,1985,1985-06-05,1985-09-28,7,10.33334216245038,259.80369259270964
shaanxi_guanzhong,1986,1986-06-05,1986-09-28,7,10.969184039813792,316.43175097627284
shaanxi_guanzhong,1987,1987-05-31,1987-09-28,7,11.095753910616747,311.60150591241796
shaanxi_guanzhong,1988,1988-06-05,1988-09-28,7,10.975906218375714,170.6422589617289
shaanxi_guanzhong,1989,1989-06-04,1989-09-28,7,11.024983768874087,224.32311606943398
shaanxi_guanzhong,1990,1990-06-03,1990-09-28,7,11.083445792323277,268.8747789662491
shaanxi_guanzhong,1991,1991-05-28,1991-09-28,7,10.974537021886478,348.3399167280293
shaanxi_guanzhong,1992,1992-05-27,1992-09-28,7,10.638184349650595,214.793545812109
shaanxi_guanzhong,1993,1993-06-06,1993-09-28,7,10.970522959834597,225.10309061866442
shaanxi_guanzhong,1994,1994-06-04,1994-09-28,7,10.7456602997476,300.6367190571789
shaanxi_guanzhong,1995,1995-05-29,1995-09-28,7,10.954879059775193,317.7755473458272
shaanxi_guanzhong,1996,1996-06-04,1996-09-28,7,11.062026787510597,263.01082388224427
shaanxi_guanzhong,1997,1997-05-26,1997-09-28,7,10.72478438312472,420.881398554946
shaanxi_guanzhong,1998,1998-05-26,1998-09-28,7,11.086906247030317,272.57409293335047
shaanxi_guanzhong,1999,1999-05-12,1999-09-28,7,11.245402858323628,293.75699822200903
shaanxi_guanzhong,2000,2000-05-21,2000-09-28,7,11.113727418122792,246.02995252423813
shaanxi_guanzhong,2001,2001-05-27,2001-09-28,7,10.963784355499804,302.7301611330842
shaanxi_guanzhong,2002,2002-05-18,2002-09-28,7,11.025933345551017,310.7177931054292
shaanxi_guanzhong,2003,2003-05-24,2003-09-28,7,11.111434058744226,245.68452002741475
shaanxi_guanzhong,2004,2004-05-22,2004-09-28,7,11.18348580022003,290.16868212518983
shaanxi_guanzhong,2005,2005-05-24,2005-09-28,7,11.127877678560505,259.4248781603559
shaanxi_guanzhong,2006,2006-05-25,2006-09-28,7,11.107925228198434,367.1550717851647
shaanxi_guanzhong,2007,2007-05-16,2007-09-28,7,11.175375421630521,256.5555196716143
shaanxi_guanzhong,2008,2008-05-26,2008-09-28,7,11.233860067869413,302.40236030570594
shaanxi_guanzhong,2009,2009-05-20,2009-09-28,7,11.159209660923667,255.31429612838852
shaanxi_guanzhong,2010,2010-05-31,2010-09-28,7,11.234197643674852,260.2292604371443
shaanxi_guanzhong,2011,2011-05-29,2011-09-28,7,10.839431954966193,284.4472704430806
shaanxi_guanzhong,2012,2012-05-27,2012-09-28,7,11.186727837583717,271.147497716199
shaanxi_guanzhong,2013,2013-05-20,2013-09-28,7,11.374499488719948,256.84728827416257
shaanxi_guanzhong,2014,2014-05-22,2014-09-28,7,11.183951971010165,321.72822891546787
shaanxi_guanzhong,2015,2015-05-22,2015-09-28,7,11.374868523632424,338.56553428411814
shaanxi_guanzhong,2016,2016-05-17,2016-09-28,7,11.48457901525393,353.78801828222447
shaanxi_guanzhong,2017,2017-05-14,2017-09-28,7,11.408624324869235,430.7932431345131
shaanxi_guanzhong,2018,2018-05-17,2018-09-28,7,11.393959296570234,362.8083234370416
shaanxi_guanzhong,2019,2019-05-18,2019-09-28,7,11.262218950497306,305.53429260269576
shaanxi_guanzhong,2020,2020-05-13,2020-09-28,7,11.47865702053881,265.7046545483646
shaanxi_guanzhong,2021,2021-05-16,2021-09-28,7,11.550115379893652,319.46871651634
shaanxi_guanzhong,2022,2022-05-19,2022-09-28,7,11.410996869930123,420.4462938522586
shaanxi_guanzhong,2023,2023-05-16,2023-09-28,7,11.529112391491092,359.47511977915934
shaanxi_guanzhong,2024,2024-05-11,2024-09-28,7,11.63018568983533,353.1084620933491
shaanxi_guanzhong,2025,2025-05-10,2025-09-28,7,11.338449236696567,390.6225958918301
beijing_plain,1982,1982-05-29,1982-09-28,7,10.995683028045946,301.96890478770564
beijing_plain,1983,1983-05-27,1983-09-28,7,11.072526742198946,413.2805935874148
beijing_plain,1984,1984-06-01,1984-09-28,7,11.016262053479958,338.82234482288294
beijing_plain,1985,1985-06-02,1985-09-28,7,10.827059870375075,231.86358076630023
beijing_plain,1986,1986-06-01,1986-09-28,7,11.033010447261335,254.07597534057106
beijing_plain,1987,1987-06-08,1987-09-28,7,11.083543175751268,268.29953639553304
beijing_plain,1988,1988-06-04,1988-09-28,7,11.134637491455118,284.35172389239534
beijing_plain,1989,1989-05-23,1989-09-28,7,10.976170830184968,366.26161769397623
beijing_plain,1990,1990-05-30,1990-09-28,7,11.035367501862561,213.86798014309326
beijing_plain,1991,1991-05-31,1991-09-28,7,11.132882750796055,316.8427234978847
beijing_plain,1992,1992-05-30,1992-09-28,7,11.155709302041595,336.08166785964175
beijing_plain,1993,1993-06-02,1993-09-28,7,11.185427059622373,323.30006651380586
beijing_plain,1994,1994-05-28,1994-09-28,7,11.10741795367092,287.54161629795334
beijing_plain,1995,1995-05-26,1995-09-28,7,10.976388163297381,240.37516132198226
beijing_plain,1996,1996-05-30,1996-09-28,7,11.105263981187182,241.36128809719452
beijing_plain,1997,1997-05-27,1997-09-28,7,11.030005815042605,457.92508471001366
beijing_plain,1998,1998-05-18,1998-09-28,7,11.288273574566354,332.6593811630846
beijing_plain,1999,1999-05-24,1999-09-28,7,11.122828939112088,424.28358771721844
beijing_plain,2000,2000-05-24,2000-09-28,7,11.295650316332189,390.0465824409072
beijing_plain,2001,2001-05-30,2001-09-28,7,11.312520552089024,302.0892121983357
beijing_plain,2002,2002-05-16,2002-09-28,7,11.23428877717129,355.4724306761962
beijing_plain,2003,2003-05-31,2003-09-28,7,11.32905834112306,400.4309316577809
beijing_plain,2004,2004-05-25,2004-09-28,7,11.324038066902995,291.3580089343797
beijing_plain,2005,2005-05-26,2005-09-28,7,11.357591915070628,392.0828704192116
beijing_plain,2006,2006-05-23,2006-09-28,7,11.349241618952071,347.8848696037465
beijing_plain,2007,2007-05-20,2007-09-28,7,11.403912280584434,418.19029948146004
beijing_plain,2008,2008-05-26,2008-09-28,7,11.308999438464586,312.29598918922005
beijing_plain,2009,2009-05-22,2009-09-28,7,11.379011956893097,387.42137737918205
beijing_plain,2010,2010-06-07,2010-09-28,7,11.279689464238324,356.54414746142567
beijing_plain,2011,2011-05-30,2011-09-28,7,11.260213244360395,327.4202581003831
beijing_plain,2012,2012-05-24,2012-09-28,7,11.417724127410382,350.7887287968997
beijing_plain,2013,2013-06-03,2013-09-28,7,11.417289957838175,338.0718475391446
beijing_plain,2014,2014-05-18,2014-09-28,7,11.437967975443204,386.427337081042
beijing_plain,2015,2015-05-22,2015-09-28,7,11.459335113415575,379.31774255677243
beijing_plain,2016,2016-05-23,2016-09-28,7,11.497172476569183,361.74007602208246
beijing_plain,2017,2017-05-21,2017-09-28,7,11.5181495604802,332.62378145681623
beijing_plain,2018,2018-05-29,2018-09-28,7,11.487785831951637,377.1342185570134
beijing_plain,2019,2019-05-23,2019-09-28,7,11.565943145674566,378.6771053237575
beijing_plain,2020,2020-05-22,2020-09-28,7,11.543292119918291,357.6311242555333
beijing_plain,2021,2021-05-22,2021-09-28,7,11.544092779662869,217.0590416035493
beijing_plain,2022,2022-05-27,2022-09-28,7,11.557574885842882,323.4461357567202
beijing_plain,2023,2023-05-20,2023-09-28,7,11.597116367791843,414.3260592868069
beijing_plain,2024,2024-05-19,2024-09-28,7,11.574146208652108,297.2411137983637
beijing_plain,2025,2025-05-13,2025-09-28,7,11.622286589289324,233.929963684268
