site_id,soil,year,weight_yield_proxy,weight_water,weight_cost,weight_risk,dry_yield_t_ha,irrigation_mm,n_decision_steps,action_modified_rate,scalar_return,condition,target_site,nearest_source_distance
hebei_central,loam,2020,0.4,0.3,0.2,0.1,14.463882555104195,10.0,44,0.22727272727272727,17.848968814616324,zero_shot,hebei_central,0.905555524686574
hebei_central,loam,2021,0.4,0.3,0.2,0.1,14.670732057567282,10.0,44,0.18181818181818182,17.863594619577558,zero_shot,hebei_central,0.905555524686574
hebei_central,loam,2022,0.4,0.3,0.2,0.1,14.62074532106187,0.0,44,0.18181818181818182,18.003880462911628,zero_shot,hebei_central,0.905555524686574
hebei_central,loam,2018,0.4,0.3,0.2,0.1,14.493408694842259,0.0,44,0.06818181818181818,17.935754692616456,finetuned,hebei_central,0.905555524686574
hebei_central,loam,2019,0.4,0.3,0.2,0.1,13.146130843062895,0.0,44,0.022727272727272728,17.470139313845237,finetuned,hebei_central,0.905555524686574
hebei_central,loam,2020,0.4,0.3,0.2,0.1,14.463882555104195,20.0,44,0.1590909090909091,17.72952437017188,finetuned,hebei_central,0.905555524686574
hebei_central,loam,2021,0.4,0.3,0.2,0.1,14.670732057567282,0.0,44,0.18181818181818182,18.005261286244224,finetuned,hebei_central,0.905555524686574
hebei_central,loam,2022,0.4,0.3,0.2,0.1,14.62074532106187,0.0,44,0.1590909090909091,18.003880462911628,finetuned,hebei_central,0.905555524686574
hebei_central,loam,2018,0.4,0.3,0.2,0.1,14.671156773690647,100.0,44,0.0,16.69971746295955,threshold_rule,hebei_central,0.905555524686574
hebei_central,loam,2019,0.4,0.3,0.2,0.1,14.481070982935657,140.0,44,0.0,16.172244349932708,threshold_rule,hebei_central,0.905555524686574
hebei_central,loam,2020,0.4,0.3,0.2,0.1,14.650730597893553,80.0,44,0.022727272727272728,16.9602643255898,threshold_rule,hebei_central,0.905555524686574
hebei_central,loam,2021,0.4,0.3,0.2,0.1,14.673821495536576,80.0,44,0.0,16.9609021837991,threshold_rule,hebei_central,0.905555524686574
hebei_central,loam,2022,0.4,0.3,0.2,0.1,14.60753612708429,40.0,44,0.022727272727272728,17.481293352630612,threshold_rule,hebei_central,0.905555524686574
henan_north,loam,2018,0.4,0.3,0.2,0.1,14.672669220727533,0.0,44,0.045454545454545456,18.00514060883093,zero_shot,henan_north,0.905555524686574
henan_north,loam,2019,0.4,0.3,0.2,0.1,11.664653180781512,0.0,44,0.0,16.96825796216854,zero_shot,henan_north,0.905555524686574
henan_north,loam,2020,0.4,0.3,0.2,0.1,14.63899306192004,0.0,44,0.09090909090909091,18.004210745335946,zero_shot,henan_north,0.905555524686574
henan_north,loam,2021,0.4,0.3,0.2,0.1,14.495866269596382,0.0,44,0.13636363636363635,17.978721789376387,zero_shot,henan_north,0.905555524686574
