site_id,date,temperature_2m_max,temperature_2m_min,precipitation_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,wind_speed_10m_mean
beijing_plain,1998-08-08,30.4,20.8,0.0,4.78,22.85,13.6,75,8.6
beijing_plain,1998-08-09,32.2,22.5,0.7,4.54,21.76,7.6,82,5.6
beijing_plain,1998-08-10,31.6,22.7,0.7,4.41,20.45,14.8,81,6.9
beijing_plain,1998-08-11,32.9,24.4,0.0,5.49,23.01,13.0,63,9.0
beijing_plain,1998-08-12,32.7,22.0,0.2,4.69,21.68,9.7,73,5.6
beijing_plain,1998-08-13,31.5,22.6,2.2,3.75,17.74,8.7,83,5.0
beijing_plain,1998-08-14,30.9,23.4,5.5,3.97,17.42,14.3,75,7.8
beijing_plain,1998-08-15,29.2,21.3,0.0,4.23,19.77,11.0,71,6.6
beijing_plain,1998-08-16,30.0,20.3,0.0,4.38,21.24,7.9,70,4.8
beijing_plain,1998-08-17,29.3,21.0,1.4,3.88,18.91,8.5,79,5.4
beijing_plain,1998-08-18,31.1,21.5,0.0,4.26,19.11,14.7,78,7.5
beijing_plain,1998-08-19,30.3,22.2,1.0,5.34,23.84,21.5,67,10.8
beijing_plain,1998-08-20,28.9,19.4,0.0,4.55,20.8,10.1,61,6.4
beijing_plain,1998-08-21,28.9,19.6,1.2,4.4,19.12,11.2,62,7.5
beijing_plain,1998-08-22,23.2,19.4,1.1,2.14,9.57,11.7,78,7.3
beijing_plain,1998-08-23,30.6,17.0,0.0,4.4,21.47,8.3,71,5.2
beijing_plain,1998-08-24,24.9,20.4,6.0,1.42,6.3,9.7,87,5.5
beijing_plain,1998-08-25,32.6,19.1,0.0,4.75,22.34,10.5,72,5.9
beijing_plain,1998-08-26,29.4,21.7,0.0,6.11,24.29,22.9,48,12.7
beijing_plain,1998-08-27,28.5,18.5,0.0,4.21,20.34,9.5,63,5.7
beijing_plain,1998-08-28,30.4,18.7,0.2,4.68,21.47,12.2,64,5.9
beijing_plain,1998-08-29,30.3,18.1,0.5,4.29,21.13,14.5,75,6.0
beijing_plain,1998-08-30,25.7,19.1,4.7,2.61,12.17,9.7,77,6.9
beijing_plain,1998-08-31,25.2,17.6,6.6,3.07,16.34,10.8,80,5.0
beijing_plain,1998-09-01,27.7,16.4,0.8,4.07,20.57,8.9,75,5.3
beijing_plain,1998-09-02,28.7,18.8,0.0,3.93,18.46,15.0,74,7.2
beijing_plain,1998-09-03,29.8,19.9,7.6,2.68,12.15,13.8,82,5.7
beijing_plain,1998-09-04,30.5,17.1,0.3,4.43,21.98,9.1,74,6.6
beijing_plain,1998-09-05,31.6,19.2,0.0,4.2,19.72,10.0,76,6.4
beijing_plain,1998-09-06,31.4,21.4,0.0,5.05,21.75,13.4,65,9.2
beijing_plain,1998-09-07,31.8,20.0,0.2,3.58,16.02,12.8,78,7.4
beijing_plain,1998-09-08,29.0,21.4,2.9,2.16,8.88,11.5,76,6.6
beijing_plain,1998-09-09,32.3,21.8,0.0,4.07,15.71,18.6,74,10.5
beijing_plain,1998-09-10,32.9,22.3,0.0,5.32,20.69,18.2,63,11.6
beijing_plain,1998-09-11,33.4,20.2,0.0,5.15,21.02,16.6,66,9.6
beijing_plain,1998-09-12,29.3,21.6,2.1,3.11,13.51,17.1,78,10.1
beijing_plain,1998-09-13,29.9,21.3,1.0,2.85,12.07,12.7,78,7.7
beijing_plain,1998-09-14,25.2,17.3,0.0,3.7,8.38,21.9,50,12.2
beijing_plain,1998-09-15,26.2,16.0,0.0,5.54,21.68,17.9,34,11.3
beijing_plain,1998-09-16,26.8,14.5,0.0,5.06,20.95,18.3,45,9.6
beijing_plain,1998-09-17,25.4,18.3,1.5,2.95,11.3,12.2,59,7.5
beijing_plain,1998-09-18,30.5,14.4,0.0,4.33,20.11,11.1,57,5.5
beijing_plain,1998-09-19,23.8,19.5,0.2,3.26,4.19,18.0,45,12.6
